ref,info
411919089,"<tag k=""crossing"" v=""traffic_signals""/><tag k=""highway"" v=""traffic_signals""/><tag k=""traffic_signals:direction"" v=""forward""/>"
411919193,"<tag k=""highway"" v=""traffic_signals""/>"
411919306,"<tag k=""highway"" v=""traffic_signals""/>"
411919357,"<tag k=""crossing"" v=""traffic_signals""/><tag k=""highway"" v=""traffic_signals""/>"
411919360,"<tag k=""highway"" v=""traffic_signals""/>"
411919522,"<tag k=""highway"" v=""traffic_signals""/>"
411919655,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
411921724,"<tag k=""noexit"" v=""yes""/>"
411922082,"<tag k=""noexit"" v=""yes""/>"
411922596,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
411922726,"<tag k=""noexit"" v=""yes""/>"
411923389,"<tag k=""access"" v=""no""/><tag k=""barrier"" v=""gate""/>"
411923959,"<tag k=""noexit"" v=""yes""/>"
411924601,"<tag k=""noexit"" v=""yes""/>"
411925508,"<tag k=""noexit"" v=""yes""/>"
411925614,"<tag k=""noexit"" v=""yes""/>"
411925620,"<tag k=""crossing"" v=""traffic_signals""/><tag k=""highway"" v=""traffic_signals""/>"
411925624,"<tag k=""noexit"" v=""yes""/>"
411925663,"<tag k=""barrier"" v=""yes""/>"
411925774,"<tag k=""crossing"" v=""traffic_signals""/><tag k=""highway"" v=""traffic_signals""/>"
411925910,"<tag k=""crossing"" v=""traffic_signals""/><tag k=""highway"" v=""traffic_signals""/>"
411925958,"<tag k=""access"" v=""no""/><tag k=""barrier"" v=""jersey_barrier""/>"
411926047,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
411926052,"<tag k=""highway"" v=""traffic_signals""/>"
411926065,"<tag k=""highway"" v=""traffic_signals""/>"
411926066,"<tag k=""highway"" v=""crossing""/>"
411926157,"<tag k=""highway"" v=""traffic_signals""/>"
411926174,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""crossing:island"" v=""no""/><tag k=""highway"" v=""crossing""/>"
411926378,"<tag k=""highway"" v=""traffic_signals""/>"
411926380,"<tag k=""highway"" v=""traffic_signals""/>"
411926393,"<tag k=""highway"" v=""traffic_signals""/>"
411926455,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
411926545,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
411926594,"<tag k=""highway"" v=""traffic_signals""/>"
411926613,"<tag k=""highway"" v=""traffic_signals""/>"
411926617,"<tag k=""highway"" v=""traffic_signals""/>"
411926694,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
411926702,"<tag k=""highway"" v=""traffic_signals""/>"
714480330,"<tag k=""highway"" v=""traffic_signals""/>"
714480434,"<tag k=""barrier"" v=""toll_booth""/>"
729602660,"<tag k=""addr:street"" v=""Đường Nguyễn Thái Học""/><tag k=""alt_name"" v=""Kentucky Fried Chicken""/><tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""KFC""/><tag k=""brand:wikidata"" v=""Q524757""/><tag k=""check_date"" v=""2024-01-04""/><tag k=""cuisine"" v=""chicken""/><tag k=""drive_through"" v=""no""/><tag k=""level"" v=""0""/><tag k=""name"" v=""KFC""/><tag k=""name:de"" v=""KFC""/><tag k=""opening_hours"" v=""09:30-22:00""/><tag k=""payment:cash"" v=""yes""/><tag k=""payment:mastercard"" v=""yes""/><tag k=""payment:visa"" v=""yes""/><tag k=""takeaway"" v=""yes""/><tag k=""wheelchair"" v=""no""/>"
729602662,"<tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""Lotteria""/><tag k=""brand:wikidata"" v=""Q249525""/><tag k=""cuisine"" v=""burger""/><tag k=""name"" v=""Lotteria""/><tag k=""takeaway"" v=""yes""/>"
729602674,"<tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""Lotteria""/><tag k=""brand:wikidata"" v=""Q249525""/><tag k=""cuisine"" v=""burger""/><tag k=""name"" v=""Lotteria""/><tag k=""takeaway"" v=""yes""/>"
729602689,"<tag k=""amenity"" v=""food_court""/><tag k=""name"" v=""Nhà Hàng Rita""/>"
729602693,"<tag k=""alt_name"" v=""Kentucky Fried Chicken""/><tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""KFC""/><tag k=""brand:en"" v=""KFC""/><tag k=""brand:wikidata"" v=""Q524757""/><tag k=""brand:wikipedia"" v=""en:KFC""/><tag k=""cuisine"" v=""chicken""/><tag k=""name"" v=""KFC""/><tag k=""name:de"" v=""KFC""/><tag k=""takeaway"" v=""yes""/>"
729602707,"<tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""Lotteria""/><tag k=""brand:wikidata"" v=""Q249525""/><tag k=""cuisine"" v=""burger""/><tag k=""internet_access"" v=""wlan""/><tag k=""name"" v=""Lotteria""/><tag k=""name:de"" v=""Lotteria""/><tag k=""takeaway"" v=""yes""/>"
729602712,"<tag k=""amenity"" v=""restaurant""/><tag k=""name"" v=""Nhà Hàng BBQ Chicken""/>"
729602724,"<tag k=""addr:housenumber"" v=""330""/><tag k=""addr:street"" v=""Đường Trần Hưng Ðạo""/><tag k=""alt_name"" v=""Kentucky Fried Chicken""/><tag k=""amenity"" v=""fast_food""/><tag k=""branch"" v=""Trần Hưng Đạo""/><tag k=""brand"" v=""KFC""/><tag k=""cuisine"" v=""chicken""/><tag k=""delivery"" v=""yes""/><tag k=""internet_access"" v=""wlan""/><tag k=""name"" v=""KFC - Trần Hưng Đạo""/><tag k=""name:en"" v=""KFC""/><tag k=""not:brand:wikidata"" v=""Q524757""/><tag k=""operator"" v=""KFC""/><tag k=""takeaway"" v=""yes""/>"
729602757,"<tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""Jollibee""/><tag k=""brand:wikidata"" v=""Q37614""/><tag k=""cuisine"" v=""burger""/><tag k=""name"" v=""Jollibee""/><tag k=""takeaway"" v=""yes""/>"
729602764,"<tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""Lotteria""/><tag k=""brand:wikidata"" v=""Q249525""/><tag k=""cuisine"" v=""burger""/><tag k=""name"" v=""Lotteria""/><tag k=""takeaway"" v=""yes""/>"
729602778,"<tag k=""amenity"" v=""fast_food""/><tag k=""name"" v=""Nhà Hàng Swiss Alps""/>"
729602781,"<tag k=""amenity"" v=""restaurant""/><tag k=""name"" v=""Nhà Hàng Au Tresor""/>"
729602786,"<tag k=""amenity"" v=""fast_food""/><tag k=""brand"" v=""Lotteria""/><tag k=""brand:wikidata"" v=""Q249525""/><tag k=""cuisine"" v=""burger""/><tag k=""name"" v=""Lotteria""/><tag k=""takeaway"" v=""yes""/>"
729602812,"<tag k=""amenity"" v=""fast_food""/><tag k=""name"" v=""Cửa Hàng Đồ Ăn Nhanh G-Bread""/>"
729604382,"<tag k=""amenity"" v=""fuel""/><tag k=""brand"" v=""Saigon Petro""/><tag k=""operator"" v=""Saigon Petro - Cua Hang Xang Dau So 1""/>"
729604384,"<tag k=""amenity"" v=""fuel""/><tag k=""name"" v=""Trạm Xăng Dầu Bình Thuận""/>"
729604406,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tram Xang Dau Tan Thuan""/>"
